code_id,count,frequency,is_active,rank
6986,1108,8.65625e-05,1,197
1027,1108,8.65625e-05,1,196
6284,1108,8.65625e-05,1,195
2896,1107,8.6484375e-05,1,199
10228,1107,8.6484375e-05,1,200
785,1106,8.640625e-05,1,201
6340,1106,8.640625e-05,1,202
6416,1104,8.625e-05,1,204
12337,1104,8.625e-05,1,205
6067,1104,8.625e-05,1,203
11482,1104,8.625e-05,1,206
2466,1103,8.6171875e-05,1,208
13665,1103,8.6171875e-05,1,207
7818,1102,8.609375e-05,1,209
9641,1101,8.6015625e-05,1,212
12015,1101,8.6015625e-05,1,210
14420,1101,8.6015625e-05,1,211
7331,1100,8.59375e-05,1,213
3299,1099,8.5859375e-05,1,214
1649,1099,8.5859375e-05,1,216
6724,1099,8.5859375e-05,1,215
12135,1098,8.578125e-05,1,217
12150,1097,8.5703125e-05,1,220
2280,1097,8.5703125e-05,1,219
474,1097,8.5703125e-05,1,218
9630,1096,8.5625e-05,1,221
3214,1095,8.5546875e-05,1,224
6355,1095,8.5546875e-05,1,222
15754,1095,8.5546875e-05,1,223
6166,1094,8.546875e-05,1,227
1990,1094,8.546875e-05,1,225
2067,1094,8.546875e-05,1,226
5323,1093,8.5390625e-05,1,228
4195,1093,8.5390625e-05,1,229
12029,1093,8.5390625e-05,1,230
2206,1093,8.5390625e-05,1,231
1711,1092,8.53125e-05,1,232
11535,1090,8.515625e-05,1,233
13234,1090,8.515625e-05,1,234
8239,1089,8.5078125e-05,1,235
4334,1089,8.5078125e-05,1,236
13187,1089,8.5078125e-05,1,237
14036,1088,8.5e-05,1,238
1060,1087,8.4921875e-05,1,239
107,1087,8.4921875e-05,1,241
9034,1087,8.4921875e-05,1,240
4127,1086,8.484375e-05,1,245
2723,1086,8.484375e-05,1,243
4517,1086,8.484375e-05,1,242
10455,1086,8.484375e-05,1,244
12876,1086,8.484375e-05,1,246
4719,1085,8.4765625e-05,1,252
1755,1085,8.4765625e-05,1,251
8231,1085,8.4765625e-05,1,248
14121,1085,8.4765625e-05,1,247
10571,1085,8.4765625e-05,1,249
9509,1085,8.4765625e-05,1,250
1813,1084,8.46875e-05,1,253
6336,1084,8.46875e-05,1,254
10990,1084,8.46875e-05,1,256
334,1084,8.46875e-05,1,255
12332,1083,8.4609375e-05,1,258
9514,1083,8.4609375e-05,1,257
110,1082,8.453125e-05,1,259
10320,1081,8.4453125e-05,1,260
471,1081,8.4453125e-05,1,261
9160,1081,8.4453125e-05,1,263
1411,1081,8.4453125e-05,1,264
9186,1081,8.4453125e-05,1,262
15377,1080,8.4375e-05,1,265
3077,1080,8.4375e-05,1,267
6590,1080,8.4375e-05,1,266
1232,1079,8.4296875e-05,1,271
8063,1079,8.4296875e-05,1,273
16069,1079,8.4296875e-05,1,274
4089,1079,8.4296875e-05,1,270
5896,1079,8.4296875e-05,1,268
14083,1079,8.4296875e-05,1,272
6500,1079,8.4296875e-05,1,269
4538,1078,8.421875e-05,1,275
2678,1078,8.421875e-05,1,276
12780,1078,8.421875e-05,1,278
6038,1078,8.421875e-05,1,277
3150,1077,8.4140625e-05,1,279
8194,1077,8.4140625e-05,1,280
10857,1076,8.40625e-05,1,281
9706,1076,8.40625e-05,1,282
16171,1075,8.3984375e-05,1,284
14213,1075,8.3984375e-05,1,283
9437,1074,8.390625e-05,1,289
11921,1074,8.390625e-05,1,288
12946,1074,8.390625e-05,1,287
14332,1074,8.390625e-05,1,285
4409,1074,8.390625e-05,1,286
726,1074,8.390625e-05,1,290
3497,1073,8.3828125e-05,1,294
9532,1073,8.3828125e-05,1,291
10129,1073,8.3828125e-05,1,292
1876,1073,8.3828125e-05,1,293
11736,1072,8.375e-05,1,297
12949,1072,8.375e-05,1,296
9572,1072,8.375e-05,1,295
7895,1071,8.3671875e-05,1,300
826,1071,8.3671875e-05,1,298
12820,1071,8.3671875e-05,1,301
762,1071,8.3671875e-05,1,299
6004,1070,8.359375e-05,1,307
4233,1070,8.359375e-05,1,306
1195,1070,8.359375e-05,1,304
12582,1070,8.359375e-05,1,305
10661,1070,8.359375e-05,1,308
14159,1070,8.359375e-05,1,303
1476,1070,8.359375e-05,1,302
1557,1069,8.3515625e-05,1,313
4606,1069,8.3515625e-05,1,309
5563,1069,8.3515625e-05,1,314
13738,1069,8.3515625e-05,1,312
13497,1069,8.3515625e-05,1,311
4988,1069,8.3515625e-05,1,310
6223,1068,8.34375e-05,1,315
11699,1068,8.34375e-05,1,317
15452,1068,8.34375e-05,1,316
2511,1067,8.3359375e-05,1,319
199,1067,8.3359375e-05,1,318
10972,1066,8.328125e-05,1,324
3573,1066,8.328125e-05,1,321
6743,1066,8.328125e-05,1,320
442,1066,8.328125e-05,1,322
5463,1066,8.328125e-05,1,323
2872,1065,8.3203125e-05,1,326
912,1065,8.3203125e-05,1,325
5187,1064,8.3125e-05,1,328
5014,1064,8.3125e-05,1,329
2075,1064,8.3125e-05,1,327
7070,1063,8.3046875e-05,1,331
1212,1063,8.3046875e-05,1,330
8775,1062,8.296875e-05,1,333
2482,1062,8.296875e-05,1,332
15282,1062,8.296875e-05,1,334
12753,1061,8.2890625e-05,1,337
5023,1061,8.2890625e-05,1,336
15232,1061,8.2890625e-05,1,335
3595,1060,8.28125e-05,1,338
2038,1060,8.28125e-05,1,339
11763,1059,8.2734375e-05,1,340
15134,1059,8.2734375e-05,1,341
6296,1058,8.265625e-05,1,344
1719,1058,8.265625e-05,1,347
15890,1058,8.265625e-05,1,345
13309,1058,8.265625e-05,1,343
4171,1058,8.265625e-05,1,346
11654,1058,8.265625e-05,1,342
14696,1057,8.2578125e-05,1,348
8820,1057,8.2578125e-05,1,349
15884,1056,8.25e-05,1,350
9500,1056,8.25e-05,1,352
10382,1056,8.25e-05,1,351
5331,1055,8.2421875e-05,1,356
5931,1055,8.2421875e-05,1,355
737,1055,8.2421875e-05,1,353
7485,1055,8.2421875e-05,1,361
2535,1055,8.2421875e-05,1,360
3280,1055,8.2421875e-05,1,358
10676,1055,8.2421875e-05,1,354
3050,1055,8.2421875e-05,1,357
889,1055,8.2421875e-05,1,362
1723,1055,8.2421875e-05,1,359
4868,1054,8.234375e-05,1,363
