model,sample_id,level,sigma,token_flip_frac
vqgan,n01518878/ILSVRC2012_val_00005427,mid,0.2,0.8671875
vqgan,n01518878/ILSVRC2012_val_00005427,high,0.5,0.98046875
vqgan,n01518878/ILSVRC2012_val_00013321,low,0.1,0.8203125
vqgan,n01518878/ILSVRC2012_val_00013321,mid,0.2,0.9296875
vqgan,n01518878/ILSVRC2012_val_00013321,high,0.5,0.98828125
vqgan,n01518878/ILSVRC2012_val_00024800,low,0.1,0.765625
vqgan,n01518878/ILSVRC2012_val_00024800,mid,0.2,0.92578125
vqgan,n01518878/ILSVRC2012_val_00024800,high,0.5,0.9921875
vqgan,n01518878/ILSVRC2012_val_00032849,low,0.1,0.54296875
vqgan,n01518878/ILSVRC2012_val_00032849,mid,0.2,0.80859375
vqgan,n01518878/ILSVRC2012_val_00032849,high,0.5,0.96484375
vqgan,n01518878/ILSVRC2012_val_00037698,low,0.1,0.875
vqgan,n01518878/ILSVRC2012_val_00037698,mid,0.2,0.94140625
vqgan,n01518878/ILSVRC2012_val_00037698,high,0.5,1.0
vqgan,n01518878/ILSVRC2012_val_00044624,low,0.1,0.75390625
vqgan,n01518878/ILSVRC2012_val_00044624,mid,0.2,0.8984375
vqgan,n01518878/ILSVRC2012_val_00044624,high,0.5,0.98828125
vqgan,n01530575/ILSVRC2012_val_00000747,low,0.1,0.7421875
vqgan,n01530575/ILSVRC2012_val_00000747,mid,0.2,0.90234375
vqgan,n01530575/ILSVRC2012_val_00000747,high,0.5,0.97265625
vqgan,n01530575/ILSVRC2012_val_00006526,low,0.1,0.54296875
vqgan,n01530575/ILSVRC2012_val_00006526,mid,0.2,0.73828125
vqgan,n01530575/ILSVRC2012_val_00006526,high,0.5,0.9453125
vqgan,n01530575/ILSVRC2012_val_00012814,low,0.1,0.7265625
vqgan,n01530575/ILSVRC2012_val_00012814,mid,0.2,0.88671875
vqgan,n01530575/ILSVRC2012_val_00012814,high,0.5,0.9765625
vqgan,n01530575/ILSVRC2012_val_00023698,low,0.1,0.6015625
vqgan,n01530575/ILSVRC2012_val_00023698,mid,0.2,0.8125
vqgan,n01530575/ILSVRC2012_val_00023698,high,0.5,0.96875
vqgan,n01530575/ILSVRC2012_val_00027619,low,0.1,0.61328125
vqgan,n01530575/ILSVRC2012_val_00027619,mid,0.2,0.828125
vqgan,n01530575/ILSVRC2012_val_00027619,high,0.5,0.95703125
vqgan,n01530575/ILSVRC2012_val_00035872,low,0.1,0.7890625
vqgan,n01530575/ILSVRC2012_val_00035872,mid,0.2,0.94140625
vqgan,n01530575/ILSVRC2012_val_00035872,high,0.5,0.9921875
vqgan,n01530575/ILSVRC2012_val_00046751,low,0.1,0.55859375
vqgan,n01530575/ILSVRC2012_val_00046751,mid,0.2,0.79296875
vqgan,n01530575/ILSVRC2012_val_00046751,high,0.5,0.9609375
vqgan,n01531178/ILSVRC2012_val_00002668,low,0.1,0.765625
vqgan,n01531178/ILSVRC2012_val_00002668,mid,0.2,0.8671875
